Data_Type,Value,Units,Time_or_Condition,Temperature_C,Substrate,Moisture,Source
Cocoon_Width,2.5,mm,Not_applicable,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
Cocoon_Length,3.5,mm,Not_applicable,18,Horticultural_soil,Not_specified,Podolak_et_al_2020
