Data_Type,Value,Units,Time_or_Condition,Temperature_C,Substrate,Moisture,Source
Hatchlings_Per_Cocoon,92,%,1_hatchling,25,Cattle_manure,75-80%,Viljoen_et_al_1991
Hatchlings_Per_Cocoon,8,%,2_hatchlings,25,Cattle_manure,75-80%,Viljoen_et_al_1991
